网址,作用,被屏蔽的检测点,屏蔽数量,状态非200,劫持数量,劫持地区/域名,劫持链接,
097300.com,-, 安徽联通 新疆联通 北京移动 浙江移动 贵州联通 浙江电信 湖南移动 ,2,4,1, 安徽联通 新疆联通 北京移动 浙江移动 贵州联通 浙江电信 湖南移动 ,http://39.173.72.156:8082/chinamobile/index.html
097512.com,-, 安徽联通 新疆联通 重庆电信 湖北电信 四川电信 湖北电信 浙江电信 浙江移动 山西联通 山东移动 湖北联通 湖北移动 湖南移动 江西联通 内蒙电信 湖北电信 贵州电信 北京电信 湖南电信 江西移动 新疆电信 广东移动 宁夏电信 上海电信 重庆联通 黑龙江联通 安徽移动 福建移动 河北移动 陕西联通 河北电信 福建联通 河北联通 陕西移动 四川联通 重庆电信 江苏移动 辽宁电信 江苏电信 吉林联通 山东电信 天津电信 江苏联通 北京移动 天津联通 辽宁移动 山东联通 山西电信 云南移动 吉林电信 内蒙联通 四川移动 黑龙江移动 安徽电信 江西电信 湖南联通 四川电信 广东联通 青海电信 重庆移动 黑龙江电信 上海移动 甘肃电信 辽宁联通 内蒙移动 广西移动 新疆移动 四川联通 山西移动 海南移动,5,6,0, 安徽联通 新疆联通 重庆电信 湖北电信 四川电信 湖北电信 浙江电信 浙江移动 山西联通 山东移动 湖北联通 湖北移动 湖南移动 江西联通 内蒙电信 湖北电信 贵州电信 北京电信 湖南电信 江西移动 新疆电信 广东移动 宁夏电信 上海电信 重庆联通 黑龙江联通 安徽移动 福建移动 河北移动 陕西联通 河北电信 福建联通 河北联通 陕西移动 四川联通 重庆电信 江苏移动 辽宁电信 江苏电信 吉林联通 山东电信 天津电信 江苏联通 北京移动 天津联通 辽宁移动 山东联通 山西电信 云南移动 吉林电信 内蒙联通 四川移动 黑龙江移动 安徽电信 江西电信 湖南联通 四川电信 广东联通 青海电信 重庆移动 黑龙江电信 上海移动 甘肃电信 辽宁联通 内蒙移动 广西移动 新疆移动 四川联通 山西移动 海南移动,
097268.com,-, 四川联通 安徽联通 新疆联通 湖南移动 湖北电信 ,4,1,0, 四川联通 安徽联通 新疆联通 湖南移动 湖北电信 ,
097285.com,-, 四川联通 新疆联通 安徽联通 山西电信 浙江联通 山西移动 北京移动 河北联通 江苏移动 云南移动 河北移动 浙江移动 湖北电信 山西联通 湖北电信 陕西移动 江苏联通 福建移动 江苏电信 北京电信 上海移动 浙江电信 甘肃电信 山东移动 安徽移动 江西电信 上海电信 陕西电信 黑龙江联通 湖南移动 黑龙江电信 内蒙联通 黑龙江移动 四川电信 重庆电信 吉林联通 天津电信 辽宁电信 江西联通 重庆联通 湖北联通 重庆移动 青海移动 四川电信 山东电信 四川联通 云南电信 重庆电信 广西移动 山东联通 内蒙电信 新疆移动 辽宁移动 海南移动 天津联通 贵州电信 广东移动 安徽电信 湖北电信 海南电信 四川移动,4,3,0, 四川联通 新疆联通 安徽联通 山西电信 浙江联通 山西移动 北京移动 河北联通 江苏移动 云南移动 河北移动 浙江移动 湖北电信 山西联通 湖北电信 陕西移动 江苏联通 福建移动 江苏电信 北京电信 上海移动 浙江电信 甘肃电信 山东移动 安徽移动 江西电信 上海电信 陕西电信 黑龙江联通 湖南移动 黑龙江电信 内蒙联通 黑龙江移动 四川电信 重庆电信 吉林联通 天津电信 辽宁电信 江西联通 重庆联通 湖北联通 重庆移动 青海移动 四川电信 山东电信 四川联通 云南电信 重庆电信 广西移动 山东联通 内蒙电信 新疆移动 辽宁移动 海南移动 天津联通 贵州电信 广东移动 安徽电信 湖北电信 海南电信 四川移动,
097282.com,-, 新疆联通 四川联通 安徽联通 湖北电信 北京电信 浙江联通 河北电信 安徽电信 山西移动 江苏移动 浙江电信 新疆电信 江苏联通 天津联通 河北移动 甘肃电信 广东联通 重庆移动 黑龙江联通 内蒙联通 辽宁电信 重庆电信 湖北电信 湖北移动 山东移动 陕西联通 北京移动 山东联通 福建联通 浙江移动 湖北电信 江西移动 内蒙电信 山西电信 天津电信 海南电信 黑龙江移动 内蒙移动 湖南电信 重庆联通 四川电信 江西联通 上海移动 广东移动 宁夏电信 福建移动 云南移动 黑龙江电信 山东电信 山西联通 辽宁移动 陕西移动 海南移动 重庆电信 广西移动 辽宁联通 四川移动 青海移动 湖南联通 江苏电信 河北联通,4,0,0, 新疆联通 四川联通 安徽联通 湖北电信 北京电信 浙江联通 河北电信 安徽电信 山西移动 江苏移动 浙江电信 新疆电信 江苏联通 天津联通 河北移动 甘肃电信 广东联通 重庆移动 黑龙江联通 内蒙联通 辽宁电信 重庆电信 湖北电信 湖北移动 山东移动 陕西联通 北京移动 山东联通 福建联通 浙江移动 湖北电信 江西移动 内蒙电信 山西电信 天津电信 海南电信 黑龙江移动 内蒙移动 湖南电信 重庆联通 四川电信 江西联通 上海移动 广东移动 宁夏电信 福建移动 云南移动 黑龙江电信 山东电信 山西联通 辽宁移动 陕西移动 海南移动 重庆电信 广西移动 辽宁联通 四川移动 青海移动 湖南联通 江苏电信 河北联通,
097286.com,-, 安徽联通 湖南移动 ,1,1,0, 安徽联通 湖南移动 ,
097283.com,-,,0,0,0,,
097271.com,-,,0,0,0,,
097281.com,-,,0,0,0,,
097287.com,-, 湖北移动 湖南移动 北京电信 内蒙电信 ,1,3,0, 湖北移动 湖南移动 北京电信 内蒙电信 ,
097309.com,-, 湖北联通 湖南移动 北京移动 湖北电信 北京电信 湖北移动 ,2,4,0, 湖北联通 湖南移动 北京移动 湖北电信 北京电信 湖北移动 ,
097356.com,-, 北京移动 湖北联通 湖北电信 湖北移动 北京电信 ,2,3,0, 北京移动 湖北联通 湖北电信 湖北移动 北京电信 ,